"","sesgo.b","sesgo.sesgosmv","sesgo.sesgosmo","sesgo.sesgosmed","varianza.b","varianza.varianzasmv","varianza.varianzasmo","varianza.varianzasmed","ecm.b","ecm.ecmsmv","ecm.ecmsmo","ecm.ecmsmed"
"1",0.1,0.00607204225060996,0.90005956812102,0.899706500290753,0.1,3.03655529240191e-05,0.000233799186070003,0.000590845915721664,0.1,6.72352500172116e-05,0.810341025352268,0.810062632581157
"2",0.2,0.0126997332193423,0.799287117327607,0.800151687982399,0.2,0.000143548656133595,0.000903399073530769,0.00239831833324966,0.2,0.000304831879976061,0.639763294999406,0.642641042114332
"3",0.3,0.0186452815786935,0.701581770962337,0.700248657531105,0.3,0.00033219407876076,0.00202519408781784,0.005209436691226,0.3,0.000679840603909527,0.494242175434467,0.495557619065341
"4",0.4,0.0253565053314902,0.602246761122992,0.594460720212012,0.4,0.000561841983114818,0.00354277647848958,0.0095228170869234,0.4,0.00120479434574071,0.366243937761623,0.362906364961908
"5",0.5,0.0318672718621092,0.499577115998324,0.502222803546116,0.5,0.000910375916284442,0.00554022607332879,0.0151210177341903,0.5,0.00192589893221802,0.255117520902532,0.267348762135911
"6",0.6,0.0380751842607279,0.401335925265346,0.397592162462324,0.6,0.00129563923255426,0.00813596401703523,0.0204342895301508,0.6,0.00274535888904264,0.169206488925626,0.178513817181618
"7",0.7,0.0438473422048381,0.303387542138714,0.289995261695562,0.7,0.00166181493660325,0.0110109034458291,0.0297375735378118,0.7,0.00358440435503143,0.103054904170799,0.113834825343689
"8",0.8,0.0480389050029219,0.200976866184895,0.194162478309125,0.8,0.00209750216944004,0.0143299775891224,0.0377720513142034,0.8,0.00440523856331979,0.0547216783306237,0.0754711192973447
"9",0.9,0.0569994852817152,0.103610488519855,0.112057415296743,0.9,0.00280415482956939,0.0188911887908426,0.0473589735170123,0.9,0.00605309615194985,0.0296263221221656,0.059915837839999
"10",1,0.0636120698358864,0.000906543374651569,-0.00380741767073034,1,0.00362663347877023,0.0212237059319396,0.0579326520465975,1,0.00767312890757592,0.0212245277528297,0.0579471484759169
"11",1.1,0.0706915286497911,-0.103849511531877,-0.105155642612511,1.1,0.00432329059715178,0.0281030274214997,0.0718247484403224,1.1,0.00932058281999602,0.0388877484669092,0.0828824576135726
"12",1.2,0.0711591830053366,-0.185544383538998,-0.189563207497075,1.2,0.00429117722796103,0.0312486513826229,0.0882258320856043,1.2,0.00935480655394802,0.0656753696454899,0.124160041722183
"13",1.3,0.0796499181087826,-0.299458633199095,-0.299346604901413,1.3,0.00562949572955719,0.0369658967272716,0.103004427989709,1.3,0.011973605184293,0.126641369724742,0.192612817855711
"14",1.4,0.0856317611687352,-0.394746296480317,-0.385429652690515,1.4,0.00646654713693646,0.0457187869944865,0.119813863194654,1.4,0.0137993456577958,0.201543425579413,0.268369880367785
"15",1.5,0.0935366452233866,-0.490498715930479,-0.477998274160084,1.5,0.00735916745924307,0.0502759985315046,0.122266667795973,1.5,0.0161082714588888,0.290864988860953,0.350749017895991
"16",1.6,0.0984124399833382,-0.601792424973697,-0.608632429950685,1.6,0.00951924660794494,0.0573693802723969,0.154913091428457,1.6,0.0192042549514191,0.419523503028119,0.525346526216132
"17",1.7,0.110084730410599,-0.682628666909136,-0.697327593126055,1.7,0.00950693986972302,0.0672583395900722,0.165051243937494,1.7,0.0216255877392973,0.533240236476216,0.651317016072472
"18",1.8,0.110084649988683,-0.801515407390893,-0.817626240486186,1.8,0.0113639257816448,0.0731094314665021,0.18905967578697,1.8,0.0234825559447757,0.715536379751491,0.857572344918546
"19",1.9,0.120313200091105,-0.903381288842879,-0.883026460271096,1.9,0.0116772965129958,0.0857750465181913,0.21029133907176,1.9,0.026152562629158,0.901872799549613,0.990027068610662
